iter	Passed	Remaining
882	10964	1452
883	10976	1440
884	10989	1428
885	11003	1415
886	11015	1403
887	11027	1390
888	11038	1378
889	11050	1365
890	11062	1353
891	11075	1340
892	11087	1328
893	11098	1315
894	11109	1303
895	11121	1290
896	11133	1278
897	11145	1265
898	11156	1253
899	11168	1240
900	11181	1228
901	11193	1216
902	11205	1203
903	11217	1191
904	11230	1178
905	11242	1166
906	11253	1153
907	11266	1141
908	11277	1129
909	11289	1116
910	11300	1103
911	11312	1091
912	11323	1079
913	11335	1066
914	11347	1054
915	11359	1041
916	11371	1029
917	11384	1016
918	11397	1004
919	11410	992
920	11423	979
921	11436	967
922	11447	954
923	11459	942
924	11471	930
925	11484	917
926	11495	905
927	11507	892
928	11518	880
929	11529	867
930	11541	855
931	11553	842
932	11565	830
933	11576	818
934	11589	805
935	11601	793
936	11613	780
937	11627	768
938	11640	756
939	11653	743
940	11665	731
941	11677	719
942	11690	706
943	11702	694
944	11714	681
945	11725	669
946	11737	656
947	11749	644
948	11761	632
949	11773	619
950	11786	607
951	11798	594
952	11811	582
953	11824	570
954	11837	557
955	11849	545
956	11862	532
957	11873	520
958	11883	508
959	11895	495
960	11907	483
961	11919	470
962	11931	458
963	11942	445
964	11954	433
965	11966	421
966	11978	408
967	11990	396
968	12001	383
969	12013	371
970	12026	359
971	12038	346
972	12051	334
973	12064	322
974	12076	309
975	12088	297
976	12100	284
977	12113	272
978	12126	260
979	12137	247
980	12149	235
981	12161	222
982	12173	210
983	12186	198
984	12198	185
985	12210	173
986	12222	160
987	12235	148
988	12247	136
989	12260	123
990	12274	111
991	12287	99
992	12299	86
993	12311	74
994	12323	61
995	12336	49
996	12349	37
997	12360	24
998	12371	12
999	12383	0
